property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,72.0,102976.97,Bahia,-12.993305,-38.45739
apartment,Northeast,150.0,227797.54,Bahia,-14.865803,-40.822427
apartment,Northeast,95.0,143543.65,Bahia,-12.994513,-38.479004
apartment,Northeast,85.0,104537.22,Bahia,-12.852844,-38.32711
apartment,Northeast,132.0,215315.48,Bahia,-12.941992,-38.403465
apartment,Northeast,211.0,374461.71,Bahia,-13.004878,-38.532276
apartment,Northeast,184.0,436871.99,Bahia,-13.009664,-38.486431
apartment,Northeast,172.0,305810.39,Bahia,-12.950598,-38.40873
apartment,Northeast,90.0,171628.28,Bahia,-13.00525,-38.516327
apartment,Northeast,106.0,162266.74,Bahia,-13.004092,-38.5047
apartment,Northeast,130.0,168507.77,Bahia,-12.985207,-38.456074
apartment,Northeast,235.0,299854.8,Bahia,-12.9979705,-38.5200581
apartment,Northeast,115.0,127941.08,Bahia,-12.992462,-38.444553
apartment,Northeast,230.0,265243.71,Bahia,-12.998506,-38.52309
house,Northeast,151.0,94690.99,Bahia,-14.814151,-39.035904
apartment,Northeast,107.0,137302.62,Bahia,-14.74019,-39.064465
apartment,Northeast,98.0,131061.59,Bahia,-12.994164,-38.518372
